Timestamp,Human readable date,38001c001851373237343331_pedestrians,context_38001c001851373237343331_pedestrians
1.58603E+12,4/4/20 13:50,506,{}
1.58604E+12,4/4/20 16:26,507,{}
1.58604E+12,4/4/20 16:27,508,{}
1.58604E+12,4/4/20 16:27,509,{}
1.58604E+12,4/4/20 16:57,510,{}
1.58604E+12,4/4/20 17:00,511,{}
1.58605E+12,4/4/20 18:10,512,{}
1.58606E+12,4/4/20 21:16,513,{}
1.58606E+12,4/4/20 21:34,514,{}
1.58607E+12,4/4/20 22:40,515,{}
1.58607E+12,4/4/20 22:47,516,{}
1.58607E+12,4/5/20 0:01,517,{}
1.58607E+12,4/5/20 0:13,518,{}
1.58607E+12,4/5/20 0:13,519,{}
1.5861E+12,4/5/20 8:01,520,{}
1.5861E+12,4/5/20 8:02,521,{}
1.5861E+12,4/5/20 9:19,522,{}
1.5861E+12,4/5/20 9:19,523,{}
1.5861E+12,4/5/20 9:19,524,{}
1.58611E+12,4/5/20 10:03,525,{}
1.58611E+12,4/5/20 10:04,526,{}
1.58611E+12,4/5/20 10:34,527,{}
1.58611E+12,4/5/20 10:43,528,{}
1.58611E+12,4/5/20 10:44,529,{}
1.58611E+12,4/5/20 12:05,530,{}
1.58611E+12,4/5/20 12:06,531,{}
1.58611E+12,4/5/20 12:08,532,{}
1.58611E+12,4/5/20 12:09,533,{}
1.58611E+12,4/5/20 12:18,534,{}
1.58611E+12,4/5/20 12:21,535,{}
1.58612E+12,4/5/20 12:52,536,{}
1.58612E+12,4/5/20 13:21,537,{}
1.58612E+12,4/5/20 13:25,538,{}
1.58612E+12,4/5/20 13:28,539,{}
1.58612E+12,4/5/20 14:01,540,{}
1.58612E+12,4/5/20 14:01,541,{}
1.58612E+12,4/5/20 14:14,542,{}
1.58612E+12,4/5/20 14:23,543,{}
1.58612E+12,4/5/20 14:26,544,{}
1.58612E+12,4/5/20 14:44,545,{}
1.58612E+12,4/5/20 14:44,546,{}
1.58612E+12,4/5/20 14:44,547,{}
1.58613E+12,4/5/20 15:28,548,{}
1.58613E+12,4/5/20 15:30,549,{}
1.58613E+12,4/5/20 15:30,550,{}
1.58613E+12,4/5/20 15:31,551,{}
1.58613E+12,4/5/20 15:31,552,{}
1.58613E+12,4/5/20 15:31,553,{}
1.58613E+12,4/5/20 15:37,554,{}
1.58613E+12,4/5/20 15:38,555,{}
1.58613E+12,4/5/20 15:38,556,{}
1.58613E+12,4/5/20 15:38,557,{}
1.58613E+12,4/5/20 15:58,558,{}
1.58613E+12,4/5/20 15:59,559,{}
1.58613E+12,4/5/20 16:19,560,{}
1.58613E+12,4/5/20 16:20,561,{}
1.58613E+12,4/5/20 16:20,562,{}
1.58613E+12,4/5/20 16:21,563,{}
1.58613E+12,4/5/20 17:20,564,{}
1.58613E+12,4/5/20 17:22,567,{}
1.58613E+12,4/5/20 17:22,568,{}
1.58613E+12,4/5/20 17:40,569,{}
1.58613E+12,4/5/20 17:40,570,{}
1.58613E+12,4/5/20 17:40,571,{}
1.58613E+12,4/5/20 17:40,572,{}
1.58613E+12,4/5/20 17:40,573,{}
1.58613E+12,4/5/20 17:40,574,{}
1.58613E+12,4/5/20 17:40,575,{}
1.58613E+12,4/5/20 17:41,576,{}
1.58613E+12,4/5/20 17:41,577,{}
1.58613E+12,4/5/20 17:41,578,{}
1.58613E+12,4/5/20 17:41,579,{}
1.58613E+12,4/5/20 17:41,580,{}
1.58613E+12,4/5/20 17:41,581,{}
1.58613E+12,4/5/20 17:41,582,{}
1.58613E+12,4/5/20 17:41,583,{}
1.58613E+12,4/5/20 17:41,585,{}
1.58613E+12,4/5/20 17:41,586,{}
1.58613E+12,4/5/20 17:41,587,{}
